tweet,polarity,subjectivity
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix']",0.3333333333333333,0.6666666666666666
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix', 'via']",0.3333333333333333,0.6666666666666666
"['the', 'seahawks', ""'"", 'loss', ',', 'and', 'so', 'she', 'played', 'marshawn', 'lynch', 'and', 'her', 'friend', 'played', 'a', 'reporter', '.', 'when', 'her', 'friend', 'asked', 'her', 'how', 'she', 'felt', ',', 'she', 'said', ',']",0.0,0.0
"[':', 'marshawn', 'lynch', 'ran', 'the', 'ball', 'times', 'from', '-', 'yard', 'line', 'during', 'regular', 'season', '.', 'he', 'only', 'scored', 'once', '.']",0.0,0.5384615384615384
"['marshawn', 'lynch', 'on', 'brady', '""', 'tom', 'brady', 'is', 'a', 'football', 'god', '""']",0.0,0.0
"['""', ':', 'exclusive', ':', 'marshawn', ""lynch's"", 'reaction', '{', 'video', '}', '""']",0.0,0.0
"[':', 'how', ""would've"", 'been', 'if', 'they', 'had', 'let', 'marshawn', 'lynch', 'run', 'it', 'in', '...']",0.0,0.0
"['if', 'marshawn', 'lynch', 'did', 'the', 'same', 'celebration', 'as', 'doug', 'baldwin', ',', ""we'd"", 'be', 'talking', 'about', 'a', 'k', 'fine', 'for', 'beast', 'mode']",0.20833333333333334,0.3125
"[':', 'former', 'celtic', 'leon', ""powe's"", 'backup', 'center', 'in', 'high', 'school', '?', 'marshawn', 'lynch', 'awesome']",0.265,0.41
"['it', 'hurts', ',', 'but', ""you're"", 'right', 'marshawn', 'lynch', 'football', 'is', 'a', 'team', 'sport', '.']",0.2857142857142857,0.5357142857142857
"['i', 'just', 'gained', 'so', 'much', 'respect', 'for', 'marshawn', 'lynch']",0.2,0.2
[],0.0,0.0
"['me', 'neither', 'the', 'worst', 'call', 'in', 'sports', 'history', '.', 'why', 'not', 'run', 'the', 'ball', 'with', 'marshawn', 'lynch', 'smh']",-1.0,1.0
"['photo', ':', 'big', 'plan', 'group', 'pete', 'carroll', ',', 'marshawn', 'lynch', 'and', 'the', 'hollywood', 'ending', 't', '...']",0.0,0.1
"['marshawn', 'lynch', 'interview']",0.0,0.0
"['marshawn', 'lynch', 'interview']",0.0,0.0
"[':', 'marshawn', 'lynch', 'ran', 'the', 'ball', 'times', 'from', '-', 'yard', 'line', 'during', 'regular', 'season', '.', 'he', 'only', 'scored', 'once', '.']",0.0,0.5384615384615384
"['seahawks', ""'"", 'marshawn', 'lynch', ""isn't"", 'exactly', 'money', 'from', 'the', '-', 'yard', 'line']",0.25,0.25
"['why', 'marshawn', 'lynch', ""wasn't"", 'surprised', 'by', 'seahawks', ""'"", 'final', 'play']",0.05,0.95
"['""', ':', 'marshawn', 'lynch', 'is', 'for', 'this', 'season', 'in', 'scoring', 'from', 'the', '-', 'yard', 'line', '.', '""', 'could', 'have', 'been', '/', '6']",0.0,0.0
"['the', 'nfl', ""didn't"", 'want', 'marshawn', 'lynch', 'on', 'the', 'mvp', 'podium', 'shouting', 'out', 'his', 'dread', 'lock', 'specialist', 'stylist', '.']",0.0,0.0
"['marshawn', ""lynch's"", ""'"", 'beast', 'mode', ""'"", 'apparel', 'earns', 'him', '$', '200k', 'in', 'phoenix', '-']",0.0,0.0
"['i', 'think', 'we', 'can', 'be', 'sure', 'that', 'would', 'give', 'more', 'interesting', 'interviews', 'than', 'marshawn', 'lynch', '.']",0.5,0.6296296296296297
"[':', ':', 'marshawn', 'lynch', 'everyone']",0.0,0.0
"['if', 'you', 'think', 'the', 'seahawks', 'are', 'lucky', 'they', 'got', 'into', 'the', 'super', 'bowl', ',', ""you're"", 'dumb', '.', 'the', 'patriots', 'are', 'so', 'lucky', 'marshawn', 'lynch', ""didn't"", 'get', 'the', 'ball']",0.15625,0.7083333333333334
"['marshawn', 'lynch', 'so', 'funny', ',', 'man', 'of', 'few', 'words', 'made', 'to', 'do', 'interviews', ',', 'best', 'bits', 'here']",0.35000000000000003,0.46666666666666673
"[':', 'marshawn', 'lynch', 'been', 'doing', 'this', 'all', 'year', '...', 'but', 'you', 'throw', 'the', 'ball', '...']",0.0,0.0
"['blacksportsplay', ':', 'marshawn', 'lynchs', 'selective', 'silence', 'is', 'a', 'power', 'move', 'for', 'black', 'athletes', 'via']",-0.16666666666666666,0.43333333333333335
"['seahawks', 'marshawn', 'lynch', 'isnt', 'exactly', 'money', 'from', 'the', '-', 'yard', 'line']",0.25,0.25
"['*', 'customer', 'asks', 'me', 'a', 'question', 'at', 'work', '*', 'me', ':', ""i'm"", 'just', 'here', 'so', 'i', ""don't"", 'get', 'fired', '.']",0.0,0.0
"['marshawn', 'lynch', 'on', 'not', 'getting', 'ball', ':', ""'"", 'football', 'is', 'a', 'team', 'sport', ""'""]",0.0,0.0
[],0.0,0.0
"[':', 'marshawn', 'lynch', 'is', 'for', 'this', 'season', 'in', 'scoring', 'from', 'the', 'yard', 'line', '.', 'on1on', 'butt', 'luck', 'pass']",0.0,0.0
"['the', 'patriots', 'lame', 'asses', 'got', 'the', 'juice', 'now', '!', '!', '!']",-0.9765625,0.75
"['richard', 'sherman', 'is', 'a', 'thug', 'for', '""', 'talking', 'too', 'much', ',', '""', 'and', 'marshawn', 'lynch', 'is', 'a', 'thug', 'for', 'not', 'talking', 'enough', '.', 'you', 'racist', 'folks', 'blow', 'me', '.']",0.1,0.35
"['emmanuel', 'hudson', 'as', 'marshawn', 'lynch', 'in', '""', 'the', 'interview', '""', '(', 'comedy', 'sketch', ')']",0.0,0.0
"['marshawn', 'lynch', '...', 'hello', '?', '?', '?']",0.0,0.0
"['leash', 'mode', ':', 'nfl', 'ballers', 'react', 'to', 'marshawn', 'lynch', 'not', 'getting', 'the', 'ball', 'to', 'win', 'super', 'bowl', ':', 'current', 'and', 'forme', '...']",0.37777777777777777,0.48888888888888893
"['i', 'really', 'want', 'to', 'hear', 'what', 'thinks', 'of', 'the', 'pete', 'carroll', 'call', 'not', 'to', 'run', 'marshawn', 'lynch']",0.2,0.2
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix', ':']",0.3333333333333333,0.6666666666666666
"['got', 'my', 'super', 'bowl', 'xlix', 'marshawn', 'lynch', 'jersey', 'today', '.', 'i', 'will', 'wear', 'it', 'with', 'pride', '!']",0.41666666666666663,0.6666666666666666
"['looks', 'like', 'and', 'bothering', 'marshawn', 'lynch', 'helped', 'the', 'nfl', '.', 'whodathunk']",0.0,0.0
"['seattle', 'seahawks', 'rb', 'marshawn', 'lynch', 'chills', 'with', 'snoop', 'dogg', 'after', 'super', 'bowl', 'xlix', 'via']",0.3333333333333333,0.6666666666666666
"['pete', 'carroll', ',', 'marshawn', 'lynch', 'and', 'the', 'hollywood', 'ending', 'that', 'never', 'was']",0.0,0.0
"['according', 'to', 'a', 'source', 'who', 'is', 'very', 'close', 'to', 'marshawn', 'lynch', ',', ""there's"", 'a', 'chance', 'we', 'see', 'him', 'traded', 'out', 'of', 'seattle', 'this', 'offseason', '.', 'landing', 'spot', '?']",0.2,0.3
